product_id,sale_date,sales_rep,region,sales_amount,quantity_sold,category,unit_cost,unit_price,customer_type,discount,payment_method,sales_channel,region_and_sales_rep,source,transaction_id,product_name,units_sold,total_revenue
1052.0,2023-02-03,Bob,North,5053.97,18.0,Furniture,152.75,267.22,Returning,0.09,Cash,Online,North-Bob,POS,,,,
1093.0,2023-04-21,Bob,West,4384.02,17.0,Furniture,3816.39,4209.44,Returning,0.11,Cash,Retail,West-Bob,POS,,,,
1015.0,2023-09-21,David,South,4631.23,30.0,Food,261.56,371.4,Returning,0.2,Bank Transfer,Retail,South-David,POS,,,,
1072.0,2023-08-24,Bob,South,2167.94,39.0,Clothing,4330.03,4467.75,New,0.02,Credit Card,Retail,South-Bob,POS,,,,
1061.0,2023-03-24,Charlie,East,3750.2,13.0,Electronics,637.37,692.71,New,0.08,Credit Card,Online,East-Charlie,POS,,,,
1021.0,2023-02-11,Charlie,West,3761.15,32.0,Food,900.79,1106.51,New,0.21,Cash,Online,West-Charlie,POS,,,,
1083.0,2023-04-11,Bob,West,618.31,29.0,Furniture,2408.81,2624.09,Returning,0.14,Cash,Online,West-Bob,POS,,,,
1087.0,2023-01-06,Eve,South,7698.92,46.0,Furniture,3702.51,3964.65,New,0.12,Bank Transfer,Online,South-Eve,POS,,,,
1075.0,2023-06-29,David,South,4223.39,30.0,Furniture,738.06,1095.4499999999998,New,0.05,Bank Transfer,Online,South-David,POS,,,,
1075.0,2023-10-09,Charlie,West,8239.58,18.0,Clothing,2228.35,2682.34,New,0.13,Bank Transfer,Online,West-Charlie,POS,,,,
1088.0,2023-11-16,Eve,North,8518.45,13.0,Furniture,2440.11,2517.6,New,0.23,Bank Transfer,Retail,North-Eve,POS,,,,
1100.0,2023-08-14,Bob,West,2198.74,43.0,Food,1100.81,1137.44,Returning,0.08,Bank Transfer,Online,West-Bob,POS,,,,
1024.0,2023-11-11,Eve,West,6607.8,21.0,Food,622.01,641.09,Returning,0.0,Bank Transfer,Retail,West-Eve,POS,,,,
1003.0,2023-12-31,Alice,South,4775.59,30.0,Furniture,4190.28,4270.65,New,0.2,Cash,Online,South-Alice,POS,,,,
1022.0,2023-08-17,Charlie,South,8813.55,21.0,Food,2537.2,2869.6,New,0.29,Bank Transfer,Retail,South-Charlie,POS,,,,
1053.0,2023-10-16,Bob,North,2235.83,48.0,Furniture,121.19,487.65,New,0.18,Cash,Retail,North-Bob,POS,,,,
1002.0,2023-05-30,David,North,6810.35,17.0,Furniture,4024.76,4420.150000000001,Returning,0.04,Cash,Online,North-David,POS,,,,
1088.0,2023-10-04,Bob,East,6116.75,40.0,Electronics,4904.93,5034.35,New,0.1,Credit Card,Retail,East-Bob,POS,,,,
1030.0,2023-07-17,David,West,3023.48,19.0,Clothing,3049.33,3209.22,Returning,0.26,Cash,Online,West-David,POS,,,,
1038.0,2023-03-11,Bob,South,1452.35,15.0,Clothing,2543.36,2790.1000000000004,Returning,0.07,Cash,Online,South-Bob,POS,,,,
1002.0,2023-04-22,Eve,North,6551.23,9.0,Electronics,4398.16,4439.12,New,0.18,Bank Transfer,Online,North-Eve,POS,,,,
1064.0,2023-01-04,Eve,East,7412.11,10.0,Electronics,4764.96,5074.42,New,0.12,Cash,Online,East-Eve,POS,,,,
1060.0,2023-12-16,Eve,East,3224.71,44.0,Clothing,3784.96,4276.99,New,0.06,Bank Transfer,Retail,East-Eve,POS,,,,
1021.0,2023-11-27,Alice,South,6483.84,31.0,Furniture,2254.99,2441.79,Returning,0.24,Bank Transfer,Online,South-Alice,POS,,,,
1033.0,2023-11-14,David,South,4011.8,23.0,Furniture,2981.5,3360.4,Returning,0.22,Bank Transfer,Retail,South-David,POS,,,,
1076.0,2023-12-16,Eve,East,7160.75,30.0,Clothing,3519.63,3774.65,New,0.2,Credit Card,Retail,East-Eve,POS,,,,
1058.0,2023-04-05,Alice,North,2072.23,33.0,Furniture,1011.65,1084.28,Returning,0.07,Bank Transfer,Retail,North-Alice,POS,,,,
1022.0,2023-06-01,David,East,8913.13,9.0,Electronics,2263.65,2558.9500000000003,New,0.03,Cash,Online,East-David,POS,,,,
1089.0,2023-11-07,Bob,West,2945.36,47.0,Furniture,4157.62,4314.56,New,0.17,Bank Transfer,Retail,West-Bob,POS,,,,
1049.0,2023-05-17,Alice,West,3741.08,1.0,Furniture,3290.89,3317.75,Returning,0.17,Bank Transfer,Online,West-Alice,POS,,,,
1091.0,2023-09-04,Charlie,South,675.11,44.0,Food,2085.46,2406.58,Returning,0.06,Bank Transfer,Retail,South-Charlie,POS,,,,
1059.0,2023-08-31,Alice,North,1203.97,35.0,Food,3333.64,3764.52,Returning,0.02,Credit Card,Online,North-Alice,POS,,,,
1042.0,2023-01-31,Alice,North,5207.03,11.0,Food,635.2,814.1400000000001,Returning,0.02,Cash,Online,North-Alice,POS,,,,
1092.0,2023-02-09,David,West,2749.17,34.0,Furniture,2037.41,2238.65,New,0.3,Credit Card,Online,West-David,POS,,,,
1060.0,2023-08-17,Bob,East,8371.25,16.0,Clothing,3975.99,4422.59,New,0.24,Cash,Online,East-Bob,POS,,,,
1080.0,2023-02-05,Charlie,South,245.46,9.0,Electronics,1141.52,1550.19,New,0.28,Credit Card,Retail,South-Charlie,POS,,,,
1015.0,2023-08-11,Eve,East,3853.03,32.0,Furniture,970.51,1330.84,Returning,0.06,Cash,Retail,East-Eve,POS,,,,
1062.0,2023-01-06,Eve,East,3439.72,15.0,Clothing,4756.55,4888.46,New,0.29,Credit Card,Online,East-Eve,POS,,,,
1062.0,2023-11-18,Alice,East,291.34,12.0,Furniture,1088.99,1545.0,Returning,0.04,Bank Transfer,Retail,East-Alice,POS,,,,
1047.0,2023-08-08,David,North,1331.25,33.0,Electronics,1341.55,1427.21,Returning,0.15,Credit Card,Online,North-David,POS,,,,
1062.0,2023-03-16,David,West,4195.06,45.0,Furniture,4849.6,5166.72,Returning,0.25,Credit Card,Online,West-David,POS,,,,
1051.0,2023-01-04,Eve,North,4979.36,14.0,Electronics,3686.81,3710.92,New,0.1,Bank Transfer,Retail,North-Eve,POS,,,,
